Words,n_grams
America,United_States_of_America
United States,United_States_of_America
 AL , Alabama 
 AK , Alaska 
 AZ , Arizona 
 AR , Arkansas 
 CA , California 
 CO , Colorado 
 CT , Connecticut 
 DE , Delaware 
 DC , District_of_Columbia 
 FL , Florida 
 GA , Georgia 
 HI , Hawaii 
 ID , Idaho 
 IL , Illinois 
 IN , Indiana 
 IA , Iowa 
 KS , Kansas 
 KY , Kentucky 
 LA , Louisiana 
 ME , Maine 
 MT , Montana 
 NE , Nebraska 
 NV , Nevada 
 NH , New_Hampshire 
 NJ , New_Jersey 
 NM , New_Mexico 
 NY , New_York 
 NC , North_Carolina 
 ND , North_Dakota 
 OH , Ohio 
 OK , Oklahoma 
 OR , Oregon 
 MD , Maryland 
 MA , Massachusetts 
 MI , Michigan 
 MN , Minnesota 
 MS , Mississippi 
 MO , Missouri 
 PA , Pennsylvania 
 RI , Rhode_Island 
 SC , South_Carolina 
 SD , South_Dakota 
 TN , Tennessee 
 TX , Texas 
 UT , Utah 
 VT , Vermont 
 VA , Virginia 
 WA , Washington 
 WV , West_Virginia 
 WI , Wisconsin 
 WY , Wyoming 
 GE , Germany 
Carnegie Mellon University,Carnegie_Mellon_University
CMU,Carnegie_Mellon_University
Wellington Carl Knox,Carl_Knox_Wellington
Bruns Aaron J,Aaron_J_Bruns
Sierra Victor S,Victor_S_Sierra
Phelan James J,James_J_Phelan
Hageman John M,John_M_Hageman
Dima Cristian,Cristian_Dima
Boesch Hanke,Hanke_Boesch
Herman Herman,Herman_Herman
Pezzementi Zachary Abraham,Zachary_Abraham_Pezzementi
Male Carson Robert,Carson_Robert_Male
Campoy Joan,Joan_Campoy
Vallespi_gonzalez Carlos,Carlos_Vallespi_Gonzalez
Bonefas Zachary T,Zachary_T_Bonefas
Vallespi_Gonzalez Carlos,Carlos_Vallespi_Gonzalez
Zametzer Johannes Josef,Johannes_Josef_Zametzer
Mai Kenneth Wei_An,Kenneth_Wei_An_Mai
Bhargava Mudit,Mudit_Bhargava
Choset Howard M,Howard_M_Choset
Wolf Alon,Alon_Wolf
Zenati Marco A,Marco_A_Zenati
Feinberg Adam,Adam_Feinberg
Hinton Thomas,Thomas_Hinton
Zubiate Brett,Brett_Zubiate
Choset Howard,Howard_M_Choset
Smailagic Asim,Asim_Smailagic
Siewiorek Daniel,Daniel_Siewiorek
Zeng Yukai,Yukai_Zeng
Leduc Philip R,Philip_R_LeDuc
Chiam Keng_Hwee,Keng_Hwee_Chiam
Falo JR Louis D,Louis_D_Falo_JR
Erdos Geza,Geza_Erdos
Ozdoganlar O Burak,Burak_O_Ozdoganlar
Fedder Gary K,Gary_K_Fedder
Ozdoganlar Burak,Burak_O_Ozdoganlar
Gilgunn Peter J,Peter_J_Gilgunn
Pileggi Lawrence,Lawrence_Thomas_Pileggi
Bromberg David M,David_M_Bromberg
Sumbul Huseyin E,Huseyin_E_Sumbul
Pileggi Lawrence Thomas,Lawrence_Thomas_Pileggi
Sharma Abhishek Anil,Abhishek_Anil_Sharma
Jackson Thomas Christopher,Thomas_Christopher_Jackson
Weldon Jeffrey Arthur,Jeffrey_Arthur_Weldon
SCHNEIDERMAN Henry,Henry_SCHNEIDERMAN
Higgs III C Fred,C_Fred_Higgs_III
LeDuc Philip R,Philip_R_LeDuc
Warren Kristin M,Kristin_M_Warren
Mpagazehe Jeremiah N,Jeremiah_N_Mpagazehe
LY Danith H,Danith_H_LY
RAPIREDDY Srinivas,Srinivas_RAPIREDDY
SAHU Bichismita,Bichismita_SAHU
sampling location,sampling_location
sampling locations,sampling_location
Csub,
CHsub,
Osub,
Nhsub,
GCATGTTTGA,
__,
